ABL1	[Nilotinib, Dasatinib, Regorafenib, Imatinib, Ponatinib , Bosutinib]
HDAC11-AS1	[Vorinostat]
HDAC1P1	[Vorinostat]
HDAC1P2	[Vorinostat]
HDAC2	[Panobinostat, ROMIDEPSIN, Vorinostat]
HDAC3	[Panobinostat, ROMIDEPSIN, Vorinostat]
HDAC4	[Panobinostat, ROMIDEPSIN, Vorinostat]
HDAC5	[Panobinostat, ROMIDEPSIN, Vorinostat]
HDAC6	[Panobinostat, ROMIDEPSIN, Vorinostat]
HDAC7	[Panobinostat, ROMIDEPSIN, Vorinostat]
HDAC8	[Panobinostat, ROMIDEPSIN, Vorinostat]
HDAC9	[Panobinostat, ROMIDEPSIN, Vorinostat]
HPRT1	[Mercaptopurine]
HSD11B1	[Prednisone]
HSPG2	[Palifermin]
HTR3A	[Palonosetron]
HTR3B	[Palonosetron]
HTR3C	[Palonosetron]
HTR3D	[Palonosetron]
HTR3E	[Palonosetron]
IFNAR1	[Peginterferon alfa-2b]
IFNAR2	[Peginterferon alfa-2b]
IKBKB	[Arsenic trioxide]
IL2RA	[Denileukin diftitox, Aldesleukin]
IL2RB	[Denileukin diftitox, Aldesleukin]
IL2RG	[Denileukin diftitox, Aldesleukin]
ITK	[Pazopanib]
JAK1	[Ruxolitinib, Ruxolotinib]
JAK2	[Ruxolitinib, Ruxolotinib]
JUN	[Vinblastine, Arsenic trioxide]
KDR	[Regorafenib, Cabozantinib, Vandetanib, Sunitinib, Sorafenib, Axitinib, Ponatinib , Pazopanib]
KIT	[Nilotinib, Dasatinib, Regorafenib, Cabozantinib, Vandetanib, Imatinib, Sunitinib, Sorafenib, Axitinib, Ponatinib , Pazopanib]
LCK	[Dasatinib, Ponatinib ]
LHCGR	[Goserelin]
LIG1	[Bleomycin]
LIG3	[Bleomycin]
LYN	[Ponatinib , Bosutinib]
MAP2	[Docetaxel, Paclitaxel]
MAP2K1	[Bosutinib, Trametinib]
MAP2K2	[Trametinib]
MAPK1	[Arsenic trioxide]
MAPK3	[Arsenic trioxide]
MET	[Crizotinib, Cabozantinib]
MPL	[Romiplostim , Eltrombopag]
MS4A1	[Rituximab]
MS4A2	[Obinutuzumab, Ibritumomab tiuxetan, Rituximab, Ofatumumab]
MTOR	[Sirolimus, Temsirolimus, Everolimus]
MTTP	[Nilotinib, Dasatinib, Vandetanib, Imatinib, Bosutinib]
NFKB1	[Thalidomide]
NR0B1	[Tretinoin]
NR1I2	[Erlotinib, Paclitaxel]
NR3C1	[Megestrol, Prednisone]
NRP1	[Palifermin]
NTRK1	[Regorafenib, Imatinib]
PARP1	[Olaparib]
PDCD1	[Nivolumab]
PDGFRA	[Nilotinib, Regorafenib, Cabozantinib, Imatinib, Sunitinib, Sorafenib, Lenvatinib, Ponatinib , Pazopanib]
PDGFRB	[Nilotinib, Dasatinib, Regorafenib, Cabozantinib, Imatinib, Sunitinib, Sorafenib, Axitinib, Lenvatinib, Pazopanib]
PDPK1	[Celecoxib]
PGD	[Dacarbazine]
PGF	[Aflibercept]
PGR	[Megestrol]
PIK3CD	[Idelalisib]
POLA1	[Nelarabine, Fludarabine, Clofarabine]
POLA2	[Dacarbazine]
POLB	[Cytarabine]
PSMB1	[Bortezomib, Carfilzomib ]
PSMB2	[Bortezomib, Carfilzomib ]
PSMB5	[Bortezomib, Carfilzomib ]
PSMD1	[Bortezomib]
PSMD2	[Bortezomib]
PTGS2	[Lenalidomide, Pomalidomide, Celecoxib, Thalidomide]
RAF1	[Regorafenib, Sorafenib, Dabrafenib]
RARA	[Tretinoin]
RARB	[Tretinoin]
RARG	[Tretinoin]
RARRES1	[Tretinoin]
RARRES2	[Tretinoin]
RARRES2P1	[Tretinoin]
RARRES2P2	[Tretinoin]
RARRES2P3	[Tretinoin]
RARRES2P4	[Tretinoin]
RARRES2P5	[Tretinoin]
RARRES2P6	[Tretinoin]
RARRES2P7	[Tretinoin]
RARRES2P8	[Tretinoin]
RARRES2P9	[Tretinoin]
RARRES3	[Tretinoin]
RARS	[Tretinoin]
RARS2	[Tretinoin]
RET	[Regorafenib, Cabozantinib, Vandetanib, Imatinib, Sunitinib, Sorafenib, Ponatinib ]
ROR1	[Bexarotene]
ROR2	[Bexarotene]
RORA	[Bexarotene]
RORB	[Bexarotene]
RORC	[Bexarotene]
RPL3	[Homoharringtonine]
RRM1	[Fludarabine, Gemcitabine, Clofarabine]
RRM2	[Clofarabine]
RRM2B	[Clofarabine]
RXRA	[Bexarotene]
RXRB	[Bexarotene, Tretinoin]
RXRG	[Bexarotene, Tretinoin]
SMO	[Vismodegib]
SMOX	[Vismodegib]
SRC	[Dasatinib, Ponatinib , Bosutinib]
STAT5B	[Dasatinib]
STMN4	[Lomustine]
TACR1	[Aprepitant]
TEC	[Bosutinib]
TEK	[Regorafenib, Vandetanib, Ponatinib ]
TLR7	[Imiquimod]
TLR8	[Imiquimod]
TNF	[Lenalidomide, Pomalidomide, Thalidomide]
TNFRSF8	[BRENTUXIMAB VEDOTIN]
TNFSF11	[Lenalidomide, Denosumab]
TOP1	[Irinotecan, Topotecan]
TOP1MT	[Irinotecan, Topotecan]
TOP2A	[Daunorubicin, Dexrazoxane, Etoposide, Epirubicin, Doxorubicin]
TOP2B	[Daunorubicin, Dexrazoxane, Etoposide, Epirubicin, Doxorubicin]
TUBA1A	[Vinblastine]
TUBA4A	[Vincristine, Cabazitaxel]
TUBB	[Eribulin, Vinblastine, Docetaxel, Paclitaxel, Ixabepilone, Vincristine, Vinorelbine]
TUBB1	[Eribulin, Vinblastine, Docetaxel, Paclitaxel, Ixabepilone, Vincristine, Cabazitaxel, Vinorelbine]
TUBB1P1	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBB1P2	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBB2A	[Eribulin, Vinblastine, Docetaxel, Paclitaxel, Vincristine, Vinorelbine]
TUBB2B	[Eribulin, Vinblastine, Docetaxel, Paclitaxel, Vincristine, Vinorelbine]
TUBB2BP1	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBB2C	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBB3	[Eribulin, Vinblastine, Docetaxel, Paclitaxel, Ixabepilone, Vincristine, Vinorelbine]
TUBB3P1	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBB3P2	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBB4	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBB4A	[Eribulin, Vinblastine, Docetaxel, Paclitaxel, Vincristine, Vinorelbine]
TUBB4AP1	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBB4B	[Eribulin, Vinblastine, Docetaxel, Paclitaxel, Vincristine, Vinorelbine]
TUBB4BP1	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBB4BP2	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBB4BP3	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBB4BP4	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBB4BP5	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBB4BP6	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBB4BP7	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBB6	[Eribulin, Vinblastine, Docetaxel, Paclitaxel, Vincristine, Vinorelbine]
TUBB6P1	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBB7P	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBB8	[Eribulin, Vinblastine, Docetaxel, Paclitaxel, Vincristine, Vinorelbine]
TUBB8P1	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBB8P10	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBB8P11	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBB8P2	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBB8P3	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBB8P4	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBB8P5	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBB8P6	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBB8P7	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBB8P8	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBB8P9	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBBP1	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBBP10	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBBP11	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBBP2	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBBP3	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBBP4	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBBP5	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBBP6	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBBP7	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBBP8	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBBP9	[Vinblastine, Docetaxel, Paclitaxel, Vinorelbine]
TUBD1	[Vinblastine]
TUBE1	[Vinblastine]
TUBG1	[Vinblastine]
TXNRD1	[Arsenic trioxide]
TYMS	[Gemcitabine, Capecitabine, Leucovorin, Pemetrexed, Fluorouracil, Pralatrexate]
VEGFA	[Vandetanib, Lenalidomide, Aflibercept, Bevacizumab]
VEGFB	[Aflibercept]
YES1	[Dasatinib]
